,title,channelTitle,description,videoId,publishedAt
0,Full CBS News South Carolina Republican Debate,CBSN,Full CBS News South Carolina Republican Debate.,Un3OhYs-tCE,2016-02-15T20:41:25.000Z
1,First Republican Primary Debate - Main Stage - August 6 2015 on Fox News,2016 US Presidential Debates,"Republican (Main Stage) Debate #1 August 6, 2015 @ 9:00pm ET on Fox News Cleveland, Ohio - Quicken Loans Arena Debaters: Jeb Bush, Ben Carson, Chris ...",2rU4W3yfd58,2016-04-16T04:54:03.000Z
2,Part 1 of the Fox News GOP presidential debate in Detroit,Fox News,Candidates clash over conservative principles and personal attacks at the #GOPDebate.,GzPIbX1pzDg,2016-03-04T03:21:08.000Z
3,FINAL REPUBLICAN PRESIDENTIAL DEBATE OF 2015 (Full Debate),wwwMOXNEWScom,"December 15, 2015 CNN News http://MOXNews.com.",dU83OPXP6_g,2015-12-16T07:48:32.000Z
4,Second 2016 GOP Presidential Debate FULL by CNN 09-16-2015,2016 presidentinal debate,"Second 2016 GOP Presidential Debate FULL by CNN 09-16-2015 GOP Debate, Gop Debate 2016, Gop Debate Live Updates, Gop Debate Live Video, ...",G20tjQGJ9go,2015-12-06T12:23:53.000Z
